label,new_tweet_text
2,pranam message today manifest dhyan meenapranam truth love karm light nature consciousness fridaythought fridaymorne coronavirusindia covid19india navratri thane ambedkarjayanti2021 modiji narendramodi secondcovidwave covaxin co bqnomvowjg
2,hyderabad base bharatbiotech seek fund government ramp production indigenously develop covid 19 vaccine covaxin company write dbtindia seek rs 100 crore ramp co wjwlvigmc4
2,time aerolneas flight ar1068 go moscow pick sputnikv vaccine 11 flight bueno air argentina moscow russia follow flight ar1068 radarbox co jqd1ajkdfw aerolneasargentina vaccine radarbox co a0evyzf57z co yhrbawrxm6
2,day moderna covid19vaccine arm little sore little fatigued usual grandparent noticeable effect though
2,get moderna pfitzer vaccine india narendramodi mohfw india
2,cameroon receive 200 000 dose sinopharm covid 19 vaccine co pmc6vfj91i cameroon sinopharm vaccine covid19
2,india 216850 new case coronavirus 1183 death last 24 hour covid19 covid covidisairborne covaxin covid 19 covid covidiot covid19india coronavirusindia coronacurfew corona worldometer covishield co tnusx1ukhj
2,covishield vs covaxin vs moderna pfizer science behind covid 19 vaccine career vaccineresearch co qkg9lrgezz I m sandipan pavansomwanshi1 sanjibchat biomedicalzone iambiotech fiercebiotech sciencenatty teamstoodnt
2,ethealthworld haffkine institute get nod produce covaxin covaxin covidvaccine haffkineinstitute bharatbiotech production co 10wgsidlao
2,officially moderna gay
2,abuse atmanirbhar bharat political tool force we import vaccine 2020 great government peddle warp concept stop approve foreign vaccine sell india promote export covaxin complete clinical trial co bre9vughjx
2,get second dose moderna vaccine yesterday far side effect pretty bad manageable soreness inject arm
2,especially lack datum johnsonandjohnson vaccine efficacy specifically b117 variant fuel current surge precedent grant eua final datum phase 3 available sputnikv covaxin aslavitt46 we fda
2,get first dose moderna vaccine I m sure work jeff bezos have not send check thing sarcasm getvaccinate moderna covid19vaccine
2,tricare gotyour6 safety family top priority april 19 pfizer moderna vaccine appointment open eligible authorized receive vaccine deptofdefense site visit co ycggjjccuu covidvaccine co mqzhm42xet
2,russia covid vaccine sputnik v clear emergency use drug controller general india sputnikv covid19 russia india emergency emergencymedicine co agrcdbkark
2,sputnikv get approval within 2 day rahulgandhi suggestion fast tracking approval vaccine per norm mocking rahulgandhi modi govt exactly suggest resignation prasad apologise resign
2,sinovac vaccine 22 province bangkokpostnews thailand co edszwbhlad
2,mediafocus hungary set receive first shipment chinese coronavirus jab sinopharm end month dailymail report vaccine china co otrnsevx9u
2,dcgi decide sec recommendation sputnikv dr reddy collaborate russia sovereign fund rdif conduct bridge trial sputnik v apply emergency use approve dcgi third vaccine available india co tgfba3hdmu
2,well decide first country send leave uk oxfordastrazeneca vaccine good friend australia ally 5 eye family tie co zkbxhvldjq
2,guy get first dose moderna vaccine today halfway close get back lawrence moderna sleeveupjoco
2,anti covid19 update india become 6 0 th country authorise use sputnikvaccine india set produce 5 0 mln dose vaccine per month summer serbia start sputnikv production staysafe stopcovid19 co xsqmyt2eqj
2,lindainlight normanswan astrazenica substantially low efficacy pfizer moderna blood clot death rare across age group vaccinate include aged 55
2,global covid19 case surpass 124 million 2 7 million death we remain worst hit nation case top 30 million zimbabwean president emmerson mnangagwa receive first shot chinas sinovac vaccine co zxngt88ryj
2,modi government go ahead production covaxin maharashtra govt bharatbiotech vaccine say company produce also take time
2,govt push corner ban russian sputnikv vaccine ke amp accept uk astrazenaca little know master issue threat ke allow vaccine sell ke amp end colonial monopoly uk kenyavsuk nanyuki kibaki
2,fwiw ill go 2 shot either pfizer moderna j amp j be not effective one shot well efficacy worth go two round shot covid19vaccine
2,get first moderna shoot yesterday ask go moderna vaccine
2,covid19 vaccine access protest yesterday outside moderna kendall square co vx6jdakasu
2,bet would love bad case scenario pfizerbiontech co cx6zghbzsq
2,aaiclas team guidance kekugazder amp close coordination amp support moca goi work relentlessly towards vaccinedelivery since jan 13 dcgi give emergency use authorization covishield amp covaxin tune tmrw 2 pm cet itw mr gazder co hpsznwlw0 g
2,goodmorne tweep wake feeling well morning I m begin wonder moderna vaccine also fight longcovid symptom still absolutely crash around 4 pm something go also wake fanta head co xtvox6e5ho
2,pakistan use sinopharm process 1st dose person wait 21 day get 2nd dose 2nd dose wait 14 day vaccine make antibody person get covid even vaccination vaccination mean get coronavirus
2,heartiest congratulation sir always lead front yes take vaccine turn actually come take advantage position take vaccine early turn covaxin aatmanirbharbharat indiafightscorona co ytabqkfyta
