label,new_tweet_text
1,4 000 day die call covid 19 vaccine dailybeast report vaccine pfizervaccine moderna co p1nqwwzpk4
2,pranam message today manifest dhyan meenapranam truth love karm light nature consciousness fridaythought fridaymorne coronavirusindia covid19india navratri thane ambedkarjayanti2021 modiji narendramodi secondcovidwave covaxin co bqnomvowjg
2,hyderabad base bharatbiotech seek fund government ramp production indigenously develop covid 19 vaccine covaxin company write dbtindia seek rs 100 crore ramp co wjwlvigmc4
1,confirmation chinese vaccine do not high protection rate accord director china centers disease control gao fu sinovac effectiveness find low 50 4 researcher brazil lt 50 useful co s2oohjd7do
3,lab study suggest pfizer moderna vaccine protect coronavirusvariant co npafa68m57
1,still want take jab pfizerbiontech sideeffect 13 israelis suffer facial paralysis take pfizer covid jab amid influx report detail adverse effect co ryitpgzuav
2,time aerolneas flight ar1068 go moscow pick sputnikv vaccine 11 flight bueno air argentina moscow russia follow flight ar1068 radarbox co jqd1ajkdfw aerolneasargentina vaccine radarbox co a0evyzf57z co yhrbawrxm6
3,covaxin effective mutant virus strain icmr thanks dr swamy39 jee amp health minister dr harsh vardhan jee promote india first indigenous covid vaccine bharat biotech co 6wswisaizt co sk7ecsguoz
3,safe effective oxfordastrazeneca
2,day moderna covid19vaccine arm little sore little fatigued usual grandparent noticeable effect though
3,syd m39 girl part moderna club
2,get moderna pfitzer vaccine india narendramodi mohfw india
2,cameroon receive 200 000 dose sinopharm covid 19 vaccine co pmc6vfj91i cameroon sinopharm vaccine covid19
2,india 216850 new case coronavirus 1183 death last 24 hour covid19 covid covidisairborne covaxin covid 19 covid covidiot covid19india coronavirusindia coronacurfew corona worldometer covishield co tnusx1ukhj
3,rachelnotley govcanhealth cpho canada congrat amazing scientist create coronavirus vaccine end pandemic science scientist pfizer moderna astrazeneca janssen cdnpoli co ziunbgnvcp
2,covishield vs covaxin vs moderna pfizer science behind covid 19 vaccine career vaccineresearch co qkg9lrgezz I m sandipan pavansomwanshi1 sanjibchat biomedicalzone iambiotech fiercebiotech sciencenatty teamstoodnt
2,ethealthworld haffkine institute get nod produce covaxin covaxin covidvaccine haffkineinstitute bharatbiotech production co 10wgsidlao
3,cbcalert embarrass crimea russia everything open business usual ontario report 4250 case covid19 1392 new case toronto lockdown close business church family hope mentalhealth canada get syria sputnikv 91 6 effective jesus co jsi3umf2xf
2,officially moderna gay
3,break serbia start sputnikv production rdif amp institute virology vaccines sera torlak join force bring sputnik v vaccine world co kpdxtz5d3l
3,good day yesterday 90 year old dad get second moderna shoot relief co bif3ufjffy
3,get pfizerbiontech vaccine
2,abuse atmanirbhar bharat political tool force we import vaccine 2020 great government peddle warp concept stop approve foreign vaccine sell india promote export covaxin complete clinical trial co bre9vughjx
3,10 hrs since receive 2nd dose moderna feel fine next two day back work saturday hydrate vitaminc rest selfcare mindfulness wellbee drinkwater mywhy covid19vaccination igotmyshot co 4jisppmhdk
3,sanket sputnikv 91 efficiency far ahead covishield covaxin
3,one go firstdosedone moderna thankful sutterhealth sccgov
2,get second dose moderna vaccine yesterday far side effect pretty bad manageable soreness inject arm
3,get 2nd moderna shoot mom amp grandma get johnsonandjohnson amp pfizer 3 deathly allergy zero allergic adverse reaction do not let allergy stop get covid19vaccine
2,especially lack datum johnsonandjohnson vaccine efficacy specifically b117 variant fuel current surge precedent grant eua final datum phase 3 available sputnikv covaxin aslavitt46 we fda
3,happen covidvaccine pfizerbiontech igotmyvaccineatuhn uhn co qrwnyiixev
2,get first dose moderna vaccine I m sure work jeff bezos have not send check thing sarcasm getvaccinate moderna covid19vaccine
2,tricare gotyour6 safety family top priority april 19 pfizer moderna vaccine appointment open eligible authorized receive vaccine deptofdefense site visit co ycggjjccuu covidvaccine co mqzhm42xet
2,russia covid vaccine sputnik v clear emergency use drug controller general india sputnikv covid19 russia india emergency emergencymedicine co agrcdbkark
3,catcheronthesly let we change goal post related cong mms yes like covaxin give emergency approval sputnikv maybe other allow people pay get vaccinated vaccine choice
2,sputnikv get approval within 2 day rahulgandhi suggestion fast tracking approval vaccine per norm mocking rahulgandhi modi govt exactly suggest resignation prasad apologise resign
3,get first vaccine moderna mahalo hawaiidoh run smooth clinic kona covidvaccine
2,sinovac vaccine 22 province bangkokpostnews thailand co edszwbhlad
2,mediafocus hungary set receive first shipment chinese coronavirus jab sinopharm end month dailymail report vaccine china co otrnsevx9u
3,start today new chapter begin hospital maimonidesmc fill hope end dark covid time amp joy celebrate life covidvaccine pfizerbiontech mrnavaccine covidend
2,dcgi decide sec recommendation sputnikv dr reddy collaborate russia sovereign fund rdif conduct bridge trial sputnik v apply emergency use approve dcgi third vaccine available india co tgfba3hdmu
3,researcher say risk cerebral venous thrombosis covid approximately 10 time high compare messenger rna vaccine 8 time high compare oxfordastrazeneca vaccine
2,well decide first country send leave uk oxfordastrazeneca vaccine good friend australia ally 5 eye family tie co zkbxhvldjq
3,get second moderna covid19 shoot empty thursday open everyone go getvaccinate covidvaccine covid19vaccination everybodys turn co segft6kuo
2,guy get first dose moderna vaccine today halfway close get back lawrence moderna sleeveupjoco
2,anti covid19 update india become 6 0 th country authorise use sputnikvaccine india set produce 5 0 mln dose vaccine per month summer serbia start sputnikv production staysafe stopcovid19 co xsqmyt2eqj
2,lindainlight normanswan astrazenica substantially low efficacy pfizer moderna blood clot death rare across age group vaccinate include aged 55
3,astrazeneca vaccine cause blood clot nonsense mother shoot two week ago get headache fatigue right rein covidvaccine oxfordastrazeneca
2,global covid19 case surpass 124 million 2 7 million death we remain worst hit nation case top 30 million zimbabwean president emmerson mnangagwa receive first shot chinas sinovac vaccine co zxngt88ryj
2,modi government go ahead production covaxin maharashtra govt bharatbiotech vaccine say company produce also take time
3,news got first dose modern covid 19 vaccination tiny needle feel thing feel absolutely fine afterwards take evil little bastard moderna covid19vaccine
2,govt push corner ban russian sputnikv vaccine ke amp accept uk astrazenaca little know master issue threat ke allow vaccine sell ke amp end colonial monopoly uk kenyavsuk nanyuki kibaki
3,first dose affect moderna covid19vaccine co wbhekeze9p
2,fwiw ill go 2 shot either pfizer moderna j amp j be not effective one shot well efficacy worth go two round shot covid19vaccine
3,get first jab yesterday join 12 million amazing organisation local gp covid 19 vaccine vaccination astrazeneca oxfordastrazeneca co rhuil8xptt
2,get first moderna shoot yesterday ask go moderna vaccine
2,covid19 vaccine access protest yesterday outside moderna kendall square co vx6jdakasu
2,bet would love bad case scenario pfizerbiontech co cx6zghbzsq
2,aaiclas team guidance kekugazder amp close coordination amp support moca goi work relentlessly towards vaccinedelivery since jan 13 dcgi give emergency use authorization covishield amp covaxin tune tmrw 2 pm cet itw mr gazder co hpsznwlw0 g
2,goodmorne tweep wake feeling well morning I m begin wonder moderna vaccine also fight longcovid symptom still absolutely crash around 4 pm something go also wake fanta head co xtvox6e5ho
2,pakistan use sinopharm process 1st dose person wait 21 day get 2nd dose 2nd dose wait 14 day vaccine make antibody person get covid even vaccination vaccination mean get coronavirus
2,heartiest congratulation sir always lead front yes take vaccine turn actually come take advantage position take vaccine early turn covaxin aatmanirbharbharat indiafightscorona co ytabqkfyta
2,americafirst matter people 3rd world country die covid19 mutation like fly moderna johnsonandjohnson remain usa nothing change co fihtz6ghxx
2,guidofawke perhaps trial run new ranger regt tier 2 recover 15 million dose oxfordastrazeneca
2,we germany lead r amp funding covid astrazeneca pfizer moderna uk co htwjpba73f
2,russia restrict twitter failure remove ban content rollsroyce report 4bn loss pandemic shake jet engine maker spain zendal may produce sputnikv vaccine big tech battle fight pandemic misinformation eu enough co s7o0ksuwkf
3,india approve use russian sputnikv covid 19 vaccine russian direct investment fund rdif say monday covid19 covidvaccine omanobserver oman co v298qu794 m
2,omarchughtai update sputnik coronavirus coronavirusvaccine sputnikv
3,india get 3rd covid19 vaccine dcgi today approve sputnikv vaccine emergency use make third covid 19 vaccine register india co 80ujohd633
3,get first moderna shoot today co 3fsttuys9s
2,two day tylenol later feel much well today moderna
3,get first dose moderna vaccine
2,nostalgic lebanese bro remember old lebanese tv ad choubattaritak get singe day long co uhcjuoktke sinovac rayovac co qvdsbsrg3v co ukmpn5y62j
2,india defense budget 100 billion pakistan budget 11 billion enemy strong teach child weapon missile useless let kill enemy slingshot think wisely everything happen exist sinopharm
2,answer r 1 fake 2 fake 3 fake lootttttoooooooo play co 0cddpxbvbr myntra bigcitygreen covaxin faug pubgmobileindia flipkart paytmholi paytmkaro co tufsujhtlr
3,guess got vaccinated moderna shoot 1 2 vaccinessavelive covidvaccine co xqufx612dz
2,india gear jab india today journoashutosh shares ground report gurugram drive take place itvideo coronavaccine covaxin covishield co o7szztltt5
2,pfizerbiontech moderna astrazeneca vaccine could roll early next year ask expert explain key difference could first reach low income country trf story also recommend co njfaeufhm6 co 8ex7cx3eeb
2,anitaoakville pm justintrudeau confirm exceed promise 2 m moderna dose 1st quarter update vaccine deliverie moderna week march 8th 460k moderna week march 22nd 840k moderna cdnpoli co nrynurylvd
2,5 g enable bobcat beep boop pfizerbiontech
2,financialtime sure b c darpa funding development implantable biochip chip able deploy experimental new vaccine develop jointly moderna u govt could change human dna able reprogrammrna aka messenger ribonucleic acid strange
2,koachkelly68 parkrunuk mine morning oxfordastrazeneca jab apart slightly sore arm feel fine
2,mayoclinic sick day 2nd shoot moderna shot fever body ache headache whole body sore
2,china saturday report administer 100 million dose covid19 vaccine far across country read co 6r60dfkfqy vaccine sinovac sinopharm co tfxoochsb9
2,pm modi get coronavirus vaccine second phase inoculation begin india hw english aiim covaxin feature pmmodi co 7nhwewezb6
2,eat alone today doug ford trudeau toronto ontario canada force stay home lockdown family business church hope life mentalhealth order russia sputnikv get syria covid19 spring healthcare co qsfuxzqd3c co vdbuoypqsr
3,mom finally get 2nd dose sinopharm vaccine vaccination process complete quarantine another 2 week develop life time antibodie side effect far get vaccinated follow sop thank china covidvaccine covid 19 pakistan
3,buckle buttercup second pfizerbiontech dose bear misgiving mild side effect first dose alleviate sure beat real thing though covid19 vumchealth
3,ottawacitizen voice us hedge fund mention sputnikv like rest canadian medium never ask trudeau canada order safe cheap effective sputnikv co 8hthdp7wg3
2,pakned43 bbhuttozardari opposition raise issue voice hear sindh also import sputnikv chinese vaccine give free well idea plz speak
3,look get pfizerbiontech covidvaccine socialresponsibility spaceball co cehokdcwj7
3,parent take second dose covaxin today smooth process turnaround time 2 hour can not thank healthcare professional enough co k7wir7h10o
2,simple video compare 3 covid vaccine currently available uk three covid 19 vaccine pfizer biontech uni oxford amp astra zeneca moderna covidvaccination covidvaccine pfizerbiontech oxfordastrazeneca moderna co 1yog2piqjh
2,24 hrs 2nd moderna shoot feel good 2 hrs shot fatigue little brain fog cough fever chill wake today feel ok arm sore small skin rash reaction around injection slight headache amp brain fog I m good vax co lnqnqmeeja
2,dixiebootsnwine plan along gate eugenic worldeconomicforum klausschwab cdc nih niaid fauci bigpharma moderna covid19 covid 19 covid19vaccine
2,californian 16 eligible covid 19 vaccine april 15 2021 get vaccinated part 2 vaccine covid 19 covidvacccine covid19 coronaviruspandemic coronavirus pfizer moderna johnsonandjohnson getvaccinate co veh8tmxdek
3,incredibly grateful yvfwc miramar health clinic pasco prioritize educator despite state denial need waiting room feel like district wide plc edchat pln covid19 moderna notthrowingawaymyshot co liq3fe0lxs
2,bio vaccine current production 1 crore dose month covaxin vaccine capacity double may june 2021 amp increase nearly 6 7 fold 6 7 crore vaccine dose july august 2021 co 4w5jix5pyu via biovoicenews bharatbiotech
2,leave house 8 weather crazy slick road get stuck arm second moderna vaccine vaccine co gbk12n0lkl
2,covaxin generally medicine use cure illness first time use get vote name
2,vaccine tracker covid 19 share injection region moderna italy date vaccini moderna covid19 co zbnkmb0dnx
2,wealth morning mar 19th 2021 headline pakistan receive chinese donation 500 000 dose sinopharm vaccine bring country total supply 1 million shot health minister faisal sultan say co dfmmfjxboo co rftvgrlkma
3,johntory embarrass moscow russia everything open business usual ontario canada report 3813 case covid19 973 new case toronto lockdown close business church family hope mentalhealth canada get syria sputnikv 91 6 effective co 6aepcvbmhl
2,2nd covid vaccine do covidvaccination2021 covidvaccineday moderna 2nddose co 77sfejxrhy
2,russias coronavirus death toll rise 78 134 russia moscow coronavac sputnikv co ltliaw2a9 g co wov06ald0z
2,break big vaccine update approve sputnikv foreign vaccine lively give emergency use authorization india govt look expand basket vaccine order ramp vaccinationdrive 1 n vaccineshortage vaccinateeveryindian
2,ok feel arm soreness today bad still feel tired normal deal nasal issue think that s due allergy anything awful noticeable hope second one easy moderna
2,thelancet article hugely boost sputnikv sputnikvaccine vaccine image eu already witness race procure approve ema produce well germany austria slovakia show interest domestically produce russia
2,mailonline moderna start covid 19 vaccine trial six month old baby 2017 te talk cmo moderna therapeutic tal zak rewrite genetic code mrna injection hack software life co ygtqtxldr7
3,side effect refine oil alcohol amp smoke vaccine nobody question side effect get vaccinated covaxin yesterday slight fatigue amp pain like would get vaccine eligible go ahead icmrdelhi co prqt7apymd
3,get second moderna vaccine yesterday feel like got run truck today however grateful worthit fullyvaccinate thankful
2,call fauciouchie surely anyone get moderna right call dolly dose wear bandaid cover rhinestone dollysose moderna dontthrowawayyourshot co vzsdhpquh9
3,cp24 canada force stay home home lockdown family business school drug abuse violence unemployment hope life government deny we safe available russia sputnik v vaccine covid19 mentalhealth jesus sputnikv co ti9wshnry4
3,happy say receive first dose moderna vaccine 4 month go second covid19 vaccinate co myidmgyulj
2,ok get sick second injection happen moderna phizer jabtobeatcorona vaccine
2,india supply 23 million covid 19 vaccine 20 country indiabloom first portal digital news management co tfs6rgawor coronavirusvaccine covid19 covaxin astrazeneca covishieldvaccine
3,fordnation doug ford trudeau ask russia produce sputnikv vaccine 91 6 effective covid19 ontario canada extend draconian lockdown destroy family business church life school force stay home mentalhealth co pvf1nxr8sj
2,get vaccine three fiddy anyone want moderna covid19 co 8w9q15nexz
1,watch nurse faint get pfizer biontech covid 19 vaccine we pfizervaccine pfizerbiontech covid19 coronavirus vaccine india vaccineswork co 1gmcmdmevv
3,got first dose pfizerbiontech covid19 coronavirusvaccine yesterday side effect last 24 hour slightly achy arm antibody test day show zero anti sars2 cov antibodie let see many week
3,dr daniel chirundu say take sinopharm vaccine protect work client vaccination also serve cue action among subordinate other demand
2,co hyocvxadlt they re back do not matter view I m sure relate way laughterisgoodforthesoul covid19 vaccine lol comedy act actor actress actorlife skit pzifer moderna johnsonandjohnson
2,kenya authorize sputnikv good news co k8kfsy6j4c
2,moderna trial end 2023 co au4mdhoozo astrazenica trial end 2023 co gszaexz4uw pfizer trial end 2023 co szsetuftkm personal life insurance invalid holiday insurance invalid want cheese lab rat
